,km,delta_year,target,lower,upper,90.0 percentile variation,model
47,-0.24790689353111647,3,151079059.0,144373822.0,157784296.0,-4.0,toyota avanza (2011-2015) 1.3 g mt
48,-0.09222700415951761,6,139440833.0,132735597.0,146146070.0,-5.0,toyota avanza (2011-2015) 1.3 g mt
49,-0.46035003380611766,7,126158000.0,119452763.0,132863237.0,-5.0,toyota avanza (2011-2015) 1.3 g mt
50,-1.2719631218234122,6,132489333.0,125784097.0,139194570.0,-5.0,toyota avanza (2011-2015) 1.3 g mt
51,-0.6135052725724612,4,140908870.0,134203634.0,147614107.0,-5.0,toyota avanza (2011-2015) 1.3 g mt
52,-0.44174625598542544,5,141253561.0,134548324.0,147958797.0,-5.0,toyota avanza (2011-2015) 1.3 g mt
53,0.35637431905815253,11,151367250.0,129796880.0,172937620.0,-14.0,honda crv (2012-2017) 2.4 i-vtec at
54,-0.046071277177088116,11,148553250.0,126982880.0,170123620.0,-15.0,honda crv (2012-2017) 2.4 i-vtec at
55,0.33741131113100353,11,151367250.0,129796880.0,172937620.0,-14.0,honda crv (2012-2017) 2.4 i-vtec at
56,-0.09309953683641761,7,264314250.0,242743880.0,285884620.0,-8.0,honda crv (2012-2017) 2.4 i-vtec at
57,0.9722675325213823,9,159187889.0,137617519.0,180758259.0,-14.0,honda crv (2012-2017) 2.4 i-vtec at
58,0.31354320515336537,9,179390381.0,157820011.0,200960751.0,-12.0,honda crv (2012-2017) 2.4 i-vtec at
59,-0.6290194248682176,6,292755500.0,271185130.0,314325870.0,-7.0,honda crv (2012-2017) 2.4 i-vtec at
60,-1.1431950638102202,4,303947500.0,282377130.0,325517870.0,-7.0,honda crv (2012-2017) 2.4 i-vtec at
61,-0.6051007508694404,6,316791833.0,295221463.0,338362203.0,-7.0,honda crv (2012-2017) 2.4 i-vtec at
62,0.6737897877480571,10,156255464.0,134685094.0,177825834.0,-14.0,honda crv (2012-2017) 2.4 i-vtec at
63,0.5961173072784549,9,175307937.0,153737567.0,196878306.0,-12.0,honda crv (2012-2017) 2.4 i-vtec at
64,0.4165755482242082,9,178600048.0,157029678.0,200170418.0,-12.0,honda crv (2012-2017) 2.4 i-vtec at
65,-0.020104598322178764,8,173927000.0,152356630.0,195497370.0,-12.0,honda crv (2012-2017) 2.4 i-vtec at
66,-0.08584302580296194,9,180630857.0,159060487.0,202201227.0,-12.0,honda crv (2012-2017) 2.4 i-vtec at
67,0.30365715702067836,10,166971298.0,145400928.0,188541668.0,-13.0,honda crv (2012-2017) 2.4 i-vtec at
68,-0.6781462574048183,11,142648000.0,121077630.0,164218370.0,-15.0,honda crv (2012-2017) 2.4 i-vtec at
69,0.5612506567030703,8,189993333.0,168422963.0,211563703.0,-11.0,honda crv (2012-2017) 2.4 i-vtec at
70,0.4165755482242082,9,178600048.0,157029678.0,200170418.0,-12.0,honda crv (2012-2017) 2.4 i-vtec at
71,-0.1567899594610687,8,179159833.0,157589463.0,200730203.0,-12.0,honda crv (2012-2017) 2.4 i-vtec at
72,0.49106224336204946,10,165796131.0,144225761.0,187366501.0,-13.0,honda crv (2012-2017) 2.4 i-vtec at
73,-0.5844942822552718,6,296853036.0,275282666.0,318423406.0,-7.0,honda crv (2012-2017) 2.4 i-vtec at
74,1.8353625173229262,14,121680000.0,100109630.0,143250370.0,-18.0,honda crv (2012-2017) 2.4 i-vtec at
75,0.1003231440205021,7,212193810.0,190623440.0,233764179.0,-10.0,honda crv (2012-2017) 2.4 i-vtec at
76,-1.321599042388838,10,159753619.0,138183249.0,181323989.0,-14.0,honda crv (2012-2017) 2.4 i-vtec at
77,0.3189792674258147,9,179390381.0,157820011.0,200960751.0,-12.0,honda crv (2012-2017) 2.4 i-vtec at
78,-0.654986103723127,6,296502167.0,274931797.0,318072537.0,-7.0,honda crv (2012-2017) 2.4 i-vtec at
79,0.5548032340078396,8,191433333.0,169862963.0,213003703.0,-11.0,honda crv (2012-2017) 2.4 i-vtec at
80,-0.020104598322178764,8,173927000.0,152356630.0,195497370.0,-12.0,honda crv (2012-2017) 2.4 i-vtec at
81,-1.0952060117492484,6,257667919.0,236097549.0,279238289.0,-8.0,honda crv (2012-2017) 2.4 i-vtec at
82,-0.46515375236708084,6,272498896.0,250928527.0,294069266.0,-8.0,honda crv (2012-2017) 2.4 i-vtec at
83,0.8363659757101478,10,148736667.0,127166297.0,170307037.0,-15.0,honda crv (2012-2017) 2.4 i-vtec at
84,-0.6935695038522328,5,285975167.0,264404797.0,307545537.0,-8.0,honda crv (2012-2017) 2.4 i-vtec at
85,-1.2057982739803814,7,238340000.0,216769630.0,259910370.0,-9.0,honda crv (2012-2017) 2.4 i-vtec at
86,0.49159320758400965,8,171767167.0,150196797.0,193337537.0,-13.0,honda crv (2012-2017) 2.4 i-vtec at
