,km,delta_year,delta_year_km,target,lower,upper,90 percentile variation,model
72,47500.0,4.0,190000.0,143400212.0,123337056.0,163463368.0,-14.0,suzuki ertiga
73,62500.0,3.0,187500.0,135138224.0,115075068.0,155201380.0,-15.0,suzuki ertiga
74,27500.0,2.0,55000.0,150619081.0,130555925.0,170682237.0,-13.0,suzuki ertiga
75,12500.0,1.0,12500.0,171354654.0,151291498.0,191417810.0,-12.0,suzuki ertiga
76,12500.0,1.0,12500.0,171354654.0,151291498.0,191417810.0,-12.0,suzuki ertiga
77,67500.0,6.0,405000.0,123852025.0,103788869.0,143915181.0,-16.0,suzuki ertiga
78,17500.0,4.0,70000.0,141811643.0,121748487.0,161874799.0,-14.0,suzuki ertiga
79,82500.0,4.0,330000.0,134802681.0,114739525.0,154865837.0,-15.0,suzuki ertiga
80,37500.0,3.0,112500.0,148087864.0,128024708.0,168151020.0,-14.0,suzuki ertiga
81,87500.0,4.0,350000.0,138235405.0,118172249.0,158298561.0,-15.0,suzuki ertiga
82,87500.0,7.0,612500.0,115971048.0,95907892.0,136034204.0,-17.0,suzuki ertiga
83,32500.0,2.0,65000.0,150145887.0,130082731.0,170209043.0,-13.0,suzuki ertiga
84,7500.0,6.0,45000.0,139932952.0,119869796.0,159996108.0,-14.0,suzuki ertiga
85,72500.0,3.0,217500.0,141212018.0,121148862.0,161275174.0,-14.0,suzuki ertiga
86,42500.0,4.0,170000.0,140666605.0,120603449.0,160729761.0,-14.0,suzuki ertiga
87,27500.0,5.0,137500.0,130672446.0,110609290.0,150735602.0,-15.0,suzuki ertiga
88,67500.0,4.0,270000.0,137844277.0,117781121.0,157907433.0,-15.0,suzuki ertiga
89,2500.0,0.0,0.0,194503282.0,174440126.0,214566438.0,-10.0,suzuki ertiga
90,237500.0,7.0,1662500.0,118980000.0,98916844.0,139043156.0,-17.0,suzuki ertiga
91,42500.0,6.0,255000.0,120849885.0,100786729.0,140913041.0,-17.0,suzuki ertiga
92,52500.0,5.0,262500.0,134890978.0,114827822.0,154954134.0,-15.0,suzuki ertiga
93,52500.0,3.0,157500.0,148461455.0,128398299.0,168524611.0,-14.0,suzuki ertiga
94,92500.0,5.0,462500.0,130899786.0,110836630.0,150962942.0,-15.0,suzuki ertiga
95,87500.0,7.0,612500.0,115971048.0,95907892.0,136034204.0,-17.0,suzuki ertiga
96,2500.0,0.0,0.0,194503282.0,174440126.0,214566438.0,-10.0,suzuki ertiga
97,7500.0,0.0,0.0,196030848.0,175967692.0,216094004.0,-10.0,suzuki ertiga
